"Focal_strain","Competitor_community","PhagePresence","Time_day","Repeat","Pop","Density"
"PA14","None",1,0,NA,"PA14",3020000
"PA14","None",1,0,NA,"PA14",3200000
"PA14","None",1,0,NA,"PA14",3760000
"PA14","SA",1,0,NA,"PA14",544000
"PA14","SA",1,0,NA,"PA14",574000
"PA14","SA",1,0,NA,"PA14",582000
"PA14","SA",1,0,NA,"SA",8100000
"PA14","SA",1,0,NA,"SA",6700000
"PA14","SA",1,0,NA,"SA",7200000
"PA14","AB",1,0,NA,"PA14",3280000
"PA14","AB",1,0,NA,"PA14",3400000
"PA14","AB",1,0,NA,"PA14",3640000
"PA14","AB",1,0,NA,"AB",17200000
"PA14","AB",1,0,NA,"AB",14480000
"PA14","AB",1,0,NA,"AB",16880000
"PA14","BC",1,0,NA,"PA14",730000
"PA14","BC",1,0,NA,"PA14",774000
"PA14","BC",1,0,NA,"PA14",756000
"PA14","BC",1,0,NA,"BC",6880000
"PA14","BC",1,0,NA,"BC",7200000
"PA14","BC",1,0,NA,"BC",6920000
"PA14","AB+BC+SA",1,0,NA,"PA14",820000
"PA14","AB+BC+SA",1,0,NA,"PA14",722000
"PA14","AB+BC+SA",1,0,NA,"PA14",790000
"PA14","AB+BC+SA",1,0,NA,"SA",1532000
"PA14","AB+BC+SA",1,0,NA,"SA",2800000
"PA14","AB+BC+SA",1,0,NA,"SA",2980000
"PA14","AB+BC+SA",1,0,NA,"AB",2540000
"PA14","AB+BC+SA",1,0,NA,"AB",2640000
"PA14","AB+BC+SA",1,0,NA,"AB",2680000
"PA14","AB+BC+SA",1,0,NA,"BC",3140000
"PA14","AB+BC+SA",1,0,NA,"BC",2860000
"PA14","AB+BC+SA",1,0,NA,"BC",2760000
"PA14","AB+BC+SA",1,1,1,"PA14",12880000
"PA14","AB+BC+SA",1,1,1,"PA14",13280000
"PA14","AB+BC+SA",1,1,1,"PA14",13580000
"PA14","AB+BC+SA",1,1,2,"PA14",15560000
"PA14","AB+BC+SA",1,1,2,"PA14",15100000
"PA14","AB+BC+SA",1,1,2,"PA14",15780000
"PA14","AB+BC+SA",1,1,3,"PA14",12120000
"PA14","AB+BC+SA",1,1,3,"PA14",12600000
"PA14","AB+BC+SA",1,1,3,"PA14",12360000
"PA14","AB+BC+SA",1,1,4,"PA14",10800000
"PA14","AB+BC+SA",1,1,4,"PA14",10840000
"PA14","AB+BC+SA",1,1,4,"PA14",10800000
"PA14","AB+BC+SA",1,1,5,"PA14",11300000
"PA14","AB+BC+SA",1,1,5,"PA14",11640000
"PA14","AB+BC+SA",1,1,5,"PA14",12580000
"PA14","AB+BC+SA",1,1,6,"PA14",14360000
"PA14","AB+BC+SA",1,1,6,"PA14",14560000
"PA14","AB+BC+SA",1,1,6,"PA14",14200000
"PA14","AB+BC+SA",1,1,1,"SA",9960
"PA14","AB+BC+SA",1,1,1,"SA",10640
"PA14","AB+BC+SA",1,1,1,"SA",11540
"PA14","AB+BC+SA",1,1,2,"SA",11320
"PA14","AB+BC+SA",1,1,2,"SA",11020
"PA14","AB+BC+SA",1,1,2,"SA",11560
"PA14","AB+BC+SA",1,1,3,"SA",9060
"PA14","AB+BC+SA",1,1,3,"SA",9100
"PA14","AB+BC+SA",1,1,3,"SA",9260
"PA14","AB+BC+SA",1,1,4,"SA",13280
"PA14","AB+BC+SA",1,1,4,"SA",12900
"PA14","AB+BC+SA",1,1,4,"SA",12720
"PA14","AB+BC+SA",1,1,5,"SA",7280
"PA14","AB+BC+SA",1,1,5,"SA",7740
"PA14","AB+BC+SA",1,1,5,"SA",6720
"PA14","AB+BC+SA",1,1,6,"SA",19580
"PA14","AB+BC+SA",1,1,6,"SA",19540
"PA14","AB+BC+SA",1,1,6,"SA",18300
"PA14","AB+BC+SA",1,1,1,"AB",1426000
"PA14","AB+BC+SA",1,1,1,"AB",1588000
"PA14","AB+BC+SA",1,1,1,"AB",1714000
"PA14","AB+BC+SA",1,1,2,"AB",1848000
"PA14","AB+BC+SA",1,1,2,"AB",1718000
"PA14","AB+BC+SA",1,1,2,"AB",1992000
"PA14","AB+BC+SA",1,1,3,"AB",1688000
"PA14","AB+BC+SA",1,1,3,"AB",1664000
"PA14","AB+BC+SA",1,1,3,"AB",1668000
"PA14","AB+BC+SA",1,1,4,"AB",364
"PA14","AB+BC+SA",1,1,4,"AB",320
"PA14","AB+BC+SA",1,1,4,"AB",436
"PA14","AB+BC+SA",1,1,5,"AB",1424000
"PA14","AB+BC+SA",1,1,5,"AB",1524000
"PA14","AB+BC+SA",1,1,5,"AB",1704000
"PA14","AB+BC+SA",1,1,6,"AB",1926000
"PA14","AB+BC+SA",1,1,6,"AB",2020000
"PA14","AB+BC+SA",1,1,6,"AB",2e+06
"PA14","AB+BC+SA",1,1,1,"BC",12460000
"PA14","AB+BC+SA",1,1,1,"BC",12080000
"PA14","AB+BC+SA",1,1,1,"BC",12760000
"PA14","AB+BC+SA",1,1,2,"BC",10360000
"PA14","AB+BC+SA",1,1,2,"BC",10640000
"PA14","AB+BC+SA",1,1,2,"BC",9540000
"PA14","AB+BC+SA",1,1,3,"BC",11780000
"PA14","AB+BC+SA",1,1,3,"BC",10680000
"PA14","AB+BC+SA",1,1,3,"BC",11680000
"PA14","AB+BC+SA",1,1,4,"BC",11060000
"PA14","AB+BC+SA",1,1,4,"BC",NA
"PA14","AB+BC+SA",1,1,4,"BC",NA
"PA14","AB+BC+SA",1,1,5,"BC",10420000
"PA14","AB+BC+SA",1,1,5,"BC",10820000
"PA14","AB+BC+SA",1,1,5,"BC",11720000
"PA14","AB+BC+SA",1,1,6,"BC",13540000
"PA14","AB+BC+SA",1,1,6,"BC",13080000
"PA14","AB+BC+SA",1,1,6,"BC",13840000
"PA14","SA",1,1,1,"PA14",23200000
"PA14","SA",1,1,1,"PA14",24400000
"PA14","SA",1,1,1,"PA14",16380000
"PA14","SA",1,1,2,"PA14",28600000
"PA14","SA",1,1,2,"PA14",2.8e+07
"PA14","SA",1,1,2,"PA14",26400000
"PA14","SA",1,1,3,"PA14",23800000
"PA14","SA",1,1,3,"PA14",23400000
"PA14","SA",1,1,3,"PA14",20600000
"PA14","SA",1,1,4,"PA14",23800000
"PA14","SA",1,1,4,"PA14",22600000
"PA14","SA",1,1,4,"PA14",22200000
"PA14","SA",1,1,5,"PA14",24200000
"PA14","SA",1,1,5,"PA14",25800000
"PA14","SA",1,1,5,"PA14",2.3e+07
"PA14","SA",1,1,6,"PA14",3e+07
"PA14","SA",1,1,6,"PA14",30200000
"PA14","SA",1,1,6,"PA14",20800000
"PA14","SA",1,1,1,"SA",1426000
"PA14","SA",1,1,1,"SA",1482000
"PA14","SA",1,1,1,"SA",1528000
"PA14","SA",1,1,2,"SA",1602000
"PA14","SA",1,1,2,"SA",1746000
"PA14","SA",1,1,2,"SA",1704000
"PA14","SA",1,1,3,"SA",466000
"PA14","SA",1,1,3,"SA",468000
"PA14","SA",1,1,3,"SA",474000
"PA14","SA",1,1,4,"SA",540000
"PA14","SA",1,1,4,"SA",548000
"PA14","SA",1,1,4,"SA",624000
"PA14","SA",1,1,5,"SA",916000
"PA14","SA",1,1,5,"SA",944000
"PA14","SA",1,1,5,"SA",1024000
"PA14","SA",1,1,6,"SA",1262000
"PA14","SA",1,1,6,"SA",1320000
"PA14","SA",1,1,6,"SA",1252000
"PA14","AB",1,1,1,"PA14",12580000
"PA14","AB",1,1,1,"PA14",12780000
"PA14","AB",1,1,1,"PA14",11860000
"PA14","AB",1,1,2,"PA14",13980000
"PA14","AB",1,1,2,"PA14",13720000
"PA14","AB",1,1,2,"PA14",13660000
"PA14","AB",1,1,3,"PA14",14460000
"PA14","AB",1,1,3,"PA14",14060000
"PA14","AB",1,1,3,"PA14",13140000
"PA14","AB",1,1,4,"PA14",16360000
"PA14","AB",1,1,4,"PA14",16520000
"PA14","AB",1,1,4,"PA14",13460000
"PA14","AB",1,1,5,"PA14",12120000
"PA14","AB",1,1,5,"PA14",12520000
"PA14","AB",1,1,5,"PA14",12300000
"PA14","AB",1,1,6,"PA14",13060000
"PA14","AB",1,1,6,"PA14",13580000
"PA14","AB",1,1,6,"PA14",11300000
"PA14","AB",1,1,1,"AB",6560000
