"Pseudomonas","Competitor.Community","PhagePresence","Time_day","Pop","Density"
"PAO1","None",1,4,"PT7",6e+07
"PAO1","None",1,4,"PT7",5.1e+08
"PAO1","None",1,4,"PT7",1.01e+09
"PAO1","None",1,4,"PT7",3e+09
"PAO1","None",1,4,"PT7",8.9e+08
"lasR","None",1,4,"PT7",8e+07
"lasR","None",1,4,"PT7",1.9e+08
"lasR","None",1,4,"PT7",3e+09
"lasR","None",1,4,"PT7",1.13e+09
"lasR","None",1,4,"PT7",1.29e+09
"PAO1","Sa",1,4,"PT7",0
"PAO1","Sa",1,4,"PT7",7e+08
"PAO1","Sa",1,4,"PT7",3.6e+08
"PAO1","Sa",1,4,"PT7",1.44e+09
"PAO1","Sa",1,4,"PT7",1.71e+09
"PAO1","Sm",1,4,"PT7",2e+07
"PAO1","Sm",1,4,"PT7",9.5e+08
"PAO1","Sm",1,4,"PT7",3e+08
"PAO1","Sm",1,4,"PT7",2.8e+08
"PAO1","Sm",1,4,"PT7",6.1e+08
"lasR","Sa",1,4,"PT7",1.3e+08
"lasR","Sa",1,4,"PT7",7.7e+08
"lasR","Sa",1,4,"PT7",1.8e+09
"lasR","Sa",1,4,"PT7",1.2e+08
"lasR","Sa",1,4,"PT7",2.4e+08
"lasR","Sm",1,4,"PT7",3e+07
"lasR","Sm",1,4,"PT7",7.5e+08
"lasR","Sm",1,4,"PT7",3e+09
"lasR","Sm",1,4,"PT7",7e+08
"lasR","Sm",1,4,"PT7",1.2e+08
"PAO1","Sa+Sm",1,4,"PT7",2e+07
"PAO1","Sa+Sm",1,4,"PT7",2.6e+08
"PAO1","Sa+Sm",1,4,"PT7",5.3e+08
"PAO1","Sa+Sm",1,4,"PT7",4.8e+08
"PAO1","Sa+Sm",1,4,"PT7",3e+09
"lasR","Sa+Sm",1,4,"PT7",9e+07
"lasR","Sa+Sm",1,4,"PT7",1.18e+09
"lasR","Sa+Sm",1,4,"PT7",2e+07
"lasR","Sa+Sm",1,4,"PT7",1.62e+09
"lasR","Sa+Sm",1,4,"PT7",1e+07
"PAO1","None",1,8,"PT7",3e+08
"PAO1","None",1,8,"PT7",3e+08
"PAO1","None",1,8,"PT7",3e+08
"PAO1","None",1,8,"PT7",3e+08
"PAO1","None",1,8,"PT7",6.6e+07
"lasR","None",1,8,"PT7",1.1e+08
"lasR","None",1,8,"PT7",6.9e+07
"lasR","None",1,8,"PT7",2e+08
"lasR","None",1,8,"PT7",1.35e+08
"lasR","None",1,8,"PT7",7.2e+07
"PAO1","Sa",1,8,"PT7",7e+06
"PAO1","Sa",1,8,"PT7",2.4e+07
"PAO1","Sa",1,8,"PT7",2.2e+07
"PAO1","Sa",1,8,"PT7",1.19e+08
"PAO1","Sa",1,8,"PT7",6.9e+07
"PAO1","Sm",1,8,"PT7",9e+06
"PAO1","Sm",1,8,"PT7",9e+07
"PAO1","Sm",1,8,"PT7",3e+06
"PAO1","Sm",1,8,"PT7",7e+06
"PAO1","Sm",1,8,"PT7",3e+08
"lasR","Sa",1,8,"PT7",3e+08
"lasR","Sa",1,8,"PT7",1.18e+08
"lasR","Sa",1,8,"PT7",3e+08
"lasR","Sa",1,8,"PT7",1.3e+07
"lasR","Sa",1,8,"PT7",1.26e+08
"lasR","Sm",1,8,"PT7",1.59e+08
"lasR","Sm",1,8,"PT7",8.2e+07
"lasR","Sm",1,8,"PT7",9.3e+07
"lasR","Sm",1,8,"PT7",1.02e+08
"lasR","Sm",1,8,"PT7",3e+08
"PAO1","Sa+Sm",1,8,"PT7",9.1e+07
"PAO1","Sa+Sm",1,8,"PT7",9e+06
"PAO1","Sa+Sm",1,8,"PT7",1.73e+08
"PAO1","Sa+Sm",1,8,"PT7",1.2e+07
"PAO1","Sa+Sm",1,8,"PT7",3e+08
"lasR","Sa+Sm",1,8,"PT7",8.1e+07
"lasR","Sa+Sm",1,8,"PT7",2.2e+07
"lasR","Sa+Sm",1,8,"PT7",1.96e+08
"lasR","Sa+Sm",1,8,"PT7",1.8e+07
"lasR","Sa+Sm",1,8,"PT7",2e+08
"PAO1","None",1,12,"PT7",1.33e+08
"PAO1","None",1,12,"PT7",3e+08
"PAO1","None",1,12,"PT7",2.5e+07
"PAO1","None",1,12,"PT7",8.6e+07
"PAO1","None",1,12,"PT7",3e+08
"lasR","None",1,12,"PT7",4.5e+07
"lasR","None",1,12,"PT7",3.3e+07
"lasR","None",1,12,"PT7",1e+07
"lasR","None",1,12,"PT7",8e+07
"lasR","None",1,12,"PT7",1.03e+08
"PAO1","Sa",1,12,"PT7",76000
"PAO1","Sa",1,12,"PT7",3e+05
"PAO1","Sa",1,12,"PT7",250000
"PAO1","Sa",1,12,"PT7",5e+07
"PAO1","Sa",1,12,"PT7",3e+08
"PAO1","Sm",1,12,"PT7",1e+06
"PAO1","Sm",1,12,"PT7",3e+06
"PAO1","Sm",1,12,"PT7",1e+07
"PAO1","Sm",1,12,"PT7",5e+06
"PAO1","Sm",1,12,"PT7",1e+06
"lasR","Sa",1,12,"PT7",3.7e+07
"lasR","Sa",1,12,"PT7",2e+06
"lasR","Sa",1,12,"PT7",3e+08
"lasR","Sa",1,12,"PT7",3e+06
"lasR","Sa",1,12,"PT7",5e+06
"lasR","Sm",1,12,"PT7",7.2e+07
"lasR","Sm",1,12,"PT7",4e+06
"lasR","Sm",1,12,"PT7",8.4e+07
"lasR","Sm",1,12,"PT7",1.69e+08
"lasR","Sm",1,12,"PT7",3e+08
"PAO1","Sa+Sm",1,12,"PT7",3e+05
"PAO1","Sa+Sm",1,12,"PT7",3e+05
"PAO1","Sa+Sm",1,12,"PT7",5.1e+07
"PAO1","Sa+Sm",1,12,"PT7",1.17e+08
"PAO1","Sa+Sm",1,12,"PT7",3e+08
"lasR","Sa+Sm",1,12,"PT7",1.7e+07
"lasR","Sa+Sm",1,12,"PT7",7.5e+07
"lasR","Sa+Sm",1,12,"PT7",1.41e+08
"lasR","Sa+Sm",1,12,"PT7",3e+08
"lasR","Sa+Sm",1,12,"PT7",3e+08
"PAO1","None",1,16,"PT7",5.6e+07
"PAO1","None",1,16,"P_aeruginosa",24500000
"PAO1","None",1,16,"PT7",5.6e+07
"PAO1","None",1,16,"P_aeruginosa",1.7e+07
"PAO1","None",1,16,"PT7",5.6e+07
"PAO1","None",1,16,"P_aeruginosa",3.6e+07
"PAO1","None",1,16,"PT7",5.6e+07
"PAO1","None",1,16,"P_aeruginosa",6100000
"PAO1","None",1,16,"PT7",5.6e+07
"PAO1","None",1,16,"P_aeruginosa",17300000
"PAO1","None",1,16,"PT7",9.1e+07
"PAO1","None",1,16,"P_aeruginosa",24500000
"PAO1","None",1,16,"PT7",9.1e+07
"PAO1","None",1,16,"P_aeruginosa",1.7e+07
"PAO1","None",1,16,"PT7",9.1e+07
"PAO1","None",1,16,"P_aeruginosa",3.6e+07
"PAO1","None",1,16,"PT7",9.1e+07
"PAO1","None",1,16,"P_aeruginosa",6100000
"PAO1","None",1,16,"PT7",9.1e+07
"PAO1","None",1,16,"P_aeruginosa",17300000
"PAO1","None",1,16,"PT7",5.9e+07
