Original text,Pseudomonas,PhagePresence,QS,Competitor presence,Community,PseudomonasCFUperml
PAO 0 1 0 PAO 102000000,PAO,0,1,0,PAO,102000000
PAO 0 1 0 PAO 103000000,PAO,0,1,0,PAO,103000000
PAO 0 1 0 PAO 127000000,PAO,0,1,0,PAO,127000000
PAO 0 1 0 PAO 101000000,PAO,0,1,0,PAO,101000000
PAO 0 1 0 PAO 17000000,PAO,0,1,0,PAO,17000000
lasR 0 0 0 lasR 49000000,lasR,0,0,0,lasR,49000000
lasR 0 0 0 lasR 16800000,lasR,0,0,0,lasR,16800000
lasR 0 0 0 lasR 109000000,lasR,0,0,0,lasR,109000000
lasR 0 0 0 lasR 45000000,lasR,0,0,0,lasR,45000000
lasR 0 0 0 lasR 16100000,lasR,0,0,0,lasR,16100000
PAO 0 1 1 PAO+Sa 4600000,PAO,0,1,1,PAO+Sa,4600000
PAO 0 1 1 PAO+Sa 3920000,PAO,0,1,1,PAO+Sa,3920000
PAO 0 1 1 PAO+Sa 1080000,PAO,0,1,1,PAO+Sa,1080000
PAO 0 1 1 PAO+Sa 1100000,PAO,0,1,1,PAO+Sa,1100000
PAO 0 1 1 PAO+Sa 11900000,PAO,0,1,1,PAO+Sa,11900000
PAO 0 1 1 PAO+Sm 680000,PAO,0,1,1,PAO+Sm,680000
PAO 0 1 1 PAO+Sm 83000,PAO,0,1,1,PAO+Sm,83000
PAO 0 1 1 PAO+Sm 1250000,PAO,0,1,1,PAO+Sm,1250000
PAO 0 1 1 PAO+Sm 720000,PAO,0,1,1,PAO+Sm,720000
PAO 0 1 1 PAO+Sm 147000,PAO,0,1,1,PAO+Sm,147000
lasR 0 0 1 lasR+Sa 10400000,lasR,0,0,1,lasR+Sa,10400000
lasR 0 0 1 lasR+Sa 1980000,lasR,0,0,1,lasR+Sa,1980000
lasR 0 0 1 lasR+Sa 13200000,lasR,0,0,1,lasR+Sa,13200000
lasR 0 0 1 lasR+Sa 18000000,lasR,0,0,1,lasR+Sa,18000000
lasR 0 0 1 lasR+Sa 14200000,lasR,0,0,1,lasR+Sa,14200000
lasR 0 0 1 lasR+Sm 7900000,lasR,0,0,1,lasR+Sm,7900000
lasR 0 0 1 lasR+Sm 7700000,lasR,0,0,1,lasR+Sm,7700000
lasR 0 0 1 lasR+Sm 290000,lasR,0,0,1,lasR+Sm,290000
lasR 0 0 1 lasR+Sm 8100000,lasR,0,0,1,lasR+Sm,8100000
lasR 0 0 1 lasR+Sm 610000,lasR,0,0,1,lasR+Sm,610000
PAO 0 1 1 PAO+Sa+Sm 1030000,PAO,0,1,1,PAO+Sa+Sm,1030000
PAO 0 1 1 PAO+Sa+Sm 1020000,PAO,0,1,1,PAO+Sa+Sm,1020000
PAO 0 1 1 PAO+Sa+Sm 2110000,PAO,0,1,1,PAO+Sa+Sm,2110000
PAO 0 1 1 PAO+Sa+Sm 310000,PAO,0,1,1,PAO+Sa+Sm,310000
PAO 0 1 1 PAO+Sa+Sm 75000,PAO,0,1,1,PAO+Sa+Sm,75000
lasR 0 0 1 lasR+Sa+Sm 8100000,lasR,0,0,1,lasR+Sa+Sm,8100000
lasR 0 0 1 lasR+Sa+Sm 2400000,lasR,0,0,1,lasR+Sa+Sm,2400000
