Treatment,Repeat,Primer set,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,R2,Efficiency,Slope,Notes/Comments
PA14 and MC,1,PA14 16s,12.301,12.259,0.041,6.44E+06,6.62E+06,1.75E+05,0.999,91.216,-3.552,Standard run
PA14 and MC,1,PA14 16s,12.255,12.259,0.041,6.64E+06,6.62E+06,1.75E+05,0.999,91.216,-3.552,Standard run
PA14 and MC,1,PA14 16s,12.22,12.259,0.041,6.79E+06,6.62E+06,1.75E+05,0.999,91.216,-3.552,Standard run
PA14 and MC,2,PA14 16s,12.011,12.019,0.035,7.78E+06,7.74E+06,1.74E+05,0.999,91.216,-3.552,Standard run
PA14 and MC,2,PA14 16s,12.057,12.019,0.035,7.55E+06,7.74E+06,1.74E+05,0.999,91.216,-3.552,Standard run
PA14 and MC,2,PA14 16s,11.989,12.019,0.035,7.89E+06,7.74E+06,1.74E+05,0.999,91.216,-3.552,Standard run
PA14 and MC,3,PA14 16s,12.394,12.365,0.029,6.06E+06,6.18E+06,1.16E+05,0.999,91.216,-3.552,Standard run
PA14 and MC,3,PA14 16s,12.336,12.365,0.029,6.30E+06,6.18E+06,1.16E+05,0.999,91.216,-3.552,Standard run
PA14 and MC,3,PA14 16s,12.364,12.365,0.029,6.18E+06,6.18E+06,1.16E+05,0.999,91.216,-3.552,Standard run
PA14 and MC,4,PA14 16s,12.574,12.572,0.004,5.40E+06,5.41E+06,1.31E+04,0.999,91.216,-3.552,Standard run
PA14 and MC,4,PA14 16s,12.567,12.572,0.004,5.42E+06,5.41E+06,1.31E+04,0.999,91.216,-3.552,Standard run
PA14 and MC,4,PA14 16s,12.574,12.572,0.004,5.40E+06,5.41E+06,1.31E+04,0.999,91.216,-3.552,Standard run
PA14 and MC,5,PA14 16s,12.503,12.433,0.085,5.65E+06,5.92E+06,3.29E+05,0.999,91.216,-3.552,Standard run
PA14 and MC,5,PA14 16s,12.457,12.433,0.085,5.82E+06,5.92E+06,3.29E+05,0.999,91.216,-3.552,Standard run
PA14 and MC,5,PA14 16s,12.339,12.433,0.085,6.29E+06,5.92E+06,3.29E+05,0.999,91.216,-3.552,Standard run
PA14 and MC,6,PA14 16s,12.133,12.132,0.02,7.18E+06,7.19E+06,9.13E+04,0.999,91.216,-3.552,Standard run
PA14 and MC,6,PA14 16s,12.112,12.132,0.02,7.28E+06,7.19E+06,9.13E+04,0.999,91.216,-3.552,Standard run
PA14 and MC,6,PA14 16s,12.152,12.132,0.02,7.10E+06,7.19E+06,9.13E+04,0.999,91.216,-3.552,Standard run
PA14 and MC,1,SA 0836,23.891,23.782,0.114,4.98E+03,5.36E+03,3.98E+02,0.998,91.338,-3.549,Standard run
PA14 and MC,1,SA 0836,23.789,23.782,0.114,5.32E+03,5.36E+03,3.98E+02,0.998,91.338,-3.549,Standard run
PA14 and MC,1,SA 0836,23.664,23.782,0.114,5.77E+03,5.36E+03,3.98E+02,0.998,91.338,-3.549,Standard run
PA14 and MC,2,SA 0836,23.695,23.698,0.037,5.66E+03,5.65E+03,1.37E+02,0.998,91.338,-3.549,Standard run
PA14 and MC,2,SA 0836,23.737,23.698,0.037,5.51E+03,5.65E+03,1.37E+02,0.998,91.338,-3.549,Standard run
PA14 and MC,2,SA 0836,23.662,23.698,0.037,5.78E+03,5.65E+03,1.37E+02,0.998,91.338,-3.549,Standard run
PA14 and MC,3,SA 0836,24.039,24.025,0.018,4.53E+03,4.57E+03,5.37E+01,0.998,91.338,-3.549,Standard run
PA14 and MC,3,SA 0836,24.032,24.025,0.018,4.55E+03,4.57E+03,5.37E+01,0.998,91.338,-3.549,Standard run
