Treatment,Repeat,Primer set,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,R2,Efficiency,Slope,Notes/Comments,,
PA14 and MC,1,PA14 16s,19.605,19.635,0.048,5.66E+04,5.55E+04,1.72E+03,0.999,91.216,-3.552,Standard run,,
PA14 and MC,1,PA14 16s,19.610,19.635,0.048,5.64E+04,5.55E+04,1.72E+03,0.999,91.216,-3.552,Standard run,,
PA14 and MC,1,PA14 16s,19.690,19.635,0.048,5.35E+04,5.55E+04,1.72E+03,0.999,91.216,-3.552,Standard run,,
PA14 and MC,2,PA14 16s,20.012,19.973,0.034,4.35E+04,4.46E+04,9.83E+02,0.999,91.216,-3.552,Standard run,,
PA14 and MC,2,PA14 16s,19.961,19.973,0.034,4.49E+04,4.46E+04,9.83E+02,0.999,91.216,-3.552,Standard run,,
PA14 and MC,2,PA14 16s,19.946,19.973,0.034,4.54E+04,4.46E+04,9.83E+02,0.999,91.216,-3.552,Standard run,,
PA14 and MC,3,PA14 16s,20.372,20.311,0.059,3.44E+04,3.58E+04,1.37E+03,0.999,91.216,-3.552,Standard run,,
PA14 and MC,3,PA14 16s,20.306,20.311,0.059,3.59E+04,3.58E+04,1.37E+03,0.999,91.216,-3.552,Standard run,,
PA14 and MC,3,PA14 16s,20.254,20.311,0.059,3.72E+04,3.58E+04,1.37E+03,0.999,91.216,-3.552,Standard run,,
PA14 and MC,4,PA14 16s,19.808,19.828,0.035,4.96E+04,4.90E+04,1.10E+03,0.999,91.216,-3.552,Standard run,,
PA14 and MC,4,PA14 16s,19.868,19.828,0.035,4.77E+04,4.90E+04,1.10E+03,0.999,91.216,-3.552,Standard run,,
PA14 and MC,4,PA14 16s,19.807,19.828,0.035,4.97E+04,4.90E+04,1.10E+03,0.999,91.216,-3.552,Standard run,,
PA14 and MC,5,PA14 16s,20.316,20.302,0.018,3.57E+04,3.60E+04,4.16E+02,0.999,91.216,-3.552,Standard run,,
PA14 and MC,5,PA14 16s,20.282,20.302,0.018,3.65E+04,3.60E+04,4.16E+02,0.999,91.216,-3.552,Standard run,,
PA14 and MC,5,PA14 16s,20.308,20.302,0.018,3.59E+04,3.60E+04,4.16E+02,0.999,91.216,-3.552,Standard run,,
PA14 and MC,6,PA14 16s,20.213,20.229,0.026,3.82E+04,3.78E+04,6.38E+02,0.999,91.216,-3.552,Standard run,,
PA14 and MC,6,PA14 16s,20.215,20.229,0.026,3.81E+04,3.78E+04,6.38E+02,0.999,91.216,-3.552,Standard run,,
PA14 and MC,6,PA14 16s,20.259,20.229,0.026,3.70E+04,3.78E+04,6.38E+02,0.999,91.216,-3.552,Standard run,,
PA14 and MC,1,SA 0836,19.909,19.912,0.005,6.60E+04,6.58E+04,2.31E+02,0.998,91.338,-3.549,Standard run,,
PA14 and MC,1,SA 0836,19.919,19.912,0.005,6.56E+04,6.58E+04,2.31E+02,0.998,91.338,-3.549,Standard run,,
PA14 and MC,1,SA 0836,19.909,19.912,0.005,6.60E+04,6.58E+04,2.31E+02,0.998,91.338,-3.549,Standard run,,
PA14 and MC,2,SA 0836,20.225,20.228,0.007,5.38E+04,5.36E+04,2.54E+02,0.998,91.338,-3.549,Standard run,,
PA14 and MC,2,SA 0836,20.237,20.228,0.007,5.33E+04,5.36E+04,2.54E+02,0.998,91.338,-3.549,Standard run,,
PA14 and MC,2,SA 0836,20.224,20.228,0.007,5.38E+04,5.36E+04,2.54E+02,0.998,91.338,-3.549,Standard run,,
PA14 and MC,3,SA 0836,19.661,19.617,0.045,7.75E+04,7.98E+04,2.31E+03,0.998,91.338,-3.549,Standard run,,
PA14 and MC,3,SA 0836,19.620,19.617,0.045,7.96E+04,7.98E+04,2.31E+03,0.998,91.338,-3.549,Standard run,,
PA14 and MC,3,SA 0836,19.571,19.617,0.045,8.22E+04,7.98E+04,2.31E+03,0.998,91.338,-3.549,Standard run,,
PA14 and MC,4,SA 0836,19.223,19.200,0.021,1.03E+05,1.05E+05,1.46E+03,0.998,91.338,-3.549,Standard run,,
PA14 and MC,4,SA 0836,19.198,19.200,0.021,1.05E+05,1.05E+05,1.46E+03,0.998,91.338,-3.549,Standard run,,
PA14 and MC,4,SA 0836,19.180,19.200,0.021,1.06E+05,1.05E+05,1.46E+03,0.998,91.338,-3.549,Standard run,,
PA14 and MC,5,SA 0836,20.208,20.191,0.015,5.43E+04,5.50E+04,5.37E+02,0.998,91.338,-3.549,Standard run,,
PA14 and MC,5,SA 0836,20.186,20.191,0.015,5.51E+04,5.50E+04,5.37E+02,0.998,91.338,-3.549,Standard run,,
PA14 and MC,5,SA 0836,20.180,20.191,0.015,5.54E+04,5.50E+04,5.37E+02,0.998,91.338,-3.549,Standard run,,
PA14 and MC,6,SA 0836,21.525,21.555,0.037,2.31E+04,2.27E+04,5.39E+02,0.998,91.338,-3.549,Standard run,,
PA14 and MC,6,SA 0836,21.543,21.555,0.037,2.29E+04,2.27E+04,5.39E+02,0.998,91.338,-3.549,Standard run,,
PA14 and MC,6,SA 0836,21.596,21.555,0.037,2.21E+04,2.27E+04,5.39E+02,0.998,91.338,-3.549,Standard run,,
PA14 and MC,1,AB 16s,15.873,15.910,0.034,1.95E+06,1.91E+06,4.20E+04,0.999,90.085,-3.585,Standard run,,
PA14 and MC,1,AB 16s,15.917,15.910,0.034,1.90E+06,1.91E+06,4.20E+04,0.999,90.085,-3.585,Standard run,,
PA14 and MC,1,AB 16s,15.940,15.910,0.034,1.87E+06,1.91E+06,4.20E+04,0.999,90.085,-3.585,Standard run,,
PA14 and MC,2,AB 16s,15.880,15.913,0.031,1.94E+06,1.90E+06,3.74E+04,0.999,90.085,-3.585,Standard run,,
PA14 and MC,2,AB 16s,15.940,15.913,0.031,1.87E+06,1.90E+06,3.74E+04,0.999,90.085,-3.585,Standard run,,
PA14 and MC,2,AB 16s,15.918,15.913,0.031,1.89E+06,1.90E+06,3.74E+04,0.999,90.085,-3.585,Standard run,,
PA14 and MC,3,AB 16s,16.442,16.325,0.116,1.35E+06,1.46E+06,1.08E+05,0.999,90.085,-3.585,Standard run,,
PA14 and MC,3,AB 16s,16.323,16.325,0.116,1.46E+06,1.46E+06,1.08E+05,0.999,90.085,-3.585,Standard run,,
PA14 and MC,3,AB 16s,16.211,16.325,0.116,1.57E+06,1.46E+06,1.08E+05,0.999,90.085,-3.585,Standard run,,
PA14 and MC,4,AB 16s,16.434,16.411,0.020,1.36E+06,1.38E+06,1.79E+04,0.999,90.085,-3.585,Standard run,,
PA14 and MC,4,AB 16s,16.397,16.411,0.020,1.39E+06,1.38E+06,1.79E+04,0.999,90.085,-3.585,Standard run,,
PA14 and MC,4,AB 16s,16.401,16.411,0.020,1.39E+06,1.38E+06,1.79E+04,0.999,90.085,-3.585,Standard run,,
PA14 and MC,5,AB 16s,16.261,16.304,0.043,1.52E+06,1.48E+06,4.11E+04,0.999,90.085,-3.585,Standard run,,
PA14 and MC,5,AB 16s,16.303,16.304,0.043,1.48E+06,1.48E+06,4.11E+04,0.999,90.085,-3.585,Standard run,,
PA14 and MC,5,AB 16s,16.348,16.304,0.043,1.44E+06,1.48E+06,4.11E+04,0.999,90.085,-3.585,Standard run,,
PA14 and MC,6,AB 16s,16.924,16.890,0.049,9.93E+05,1.02E+06,3.24E+04,0.999,90.085,-3.585,Standard run,,
PA14 and MC,6,AB 16s,16.834,16.890,0.049,1.05E+06,1.02E+06,3.24E+04,0.999,90.085,-3.585,Standard run,,
PA14 and MC,6,AB 16s,16.912,16.890,0.049,1.00E+06,1.02E+06,3.24E+04,0.999,90.085,-3.585,Standard run,,
PA14 and MC,1,BC 16s (455),13.376,13.541,0.274,1.36E+07,1.23E+07,2.08E+06,0.999,91.972,-3.531,Standard run,,
PA14 and MC,1,BC 16s (455),13.389,13.541,0.274,1.35E+07,1.23E+07,2.08E+06,0.999,91.972,-3.531,Standard run,,
PA14 and MC,1,BC 16s (455),13.857,13.541,0.274,9.92E+06,1.23E+07,2.08E+06,0.999,91.972,-3.531,Standard run,,
PA14 and MC,2,BC 16s (455),13.703,13.850,0.207,1.10E+07,1.00E+07,1.30E+06,0.999,91.972,-3.531,Standard run,,
PA14 and MC,2,BC 16s (455),13.759,13.850,0.207,1.06E+07,1.00E+07,1.30E+06,0.999,91.972,-3.531,Standard run,,
PA14 and MC,2,BC 16s (455),14.087,13.850,0.207,8.54E+06,1.00E+07,1.30E+06,0.999,91.972,-3.531,Standard run,,
